Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
C20520194,CGB-JPN-2,"05",6-2,SE Toys'R'Us translucent green,AU eBay,2024-11-27
C20520851,CGB-JPN-2,"05",3-2,SE Toys'R'Us translucent green,AU eBay,2024-11-10
C20520957,CGB-JPN-2,"05",4-2,SE Toys'R'Us translucent green,JP J4U,2024-09-07
C20520975,CGB-JPN-2,"05",?-?,SE Toys'R'Us translucent green,US eBay,2025-05-31
C20521226,CGB-JPN-2,"05",2-2,SE Toys'R'Us translucent green,US eBay,2025-05-30
C20521512,CGB-JPN-2,?,?-?,SE Toys'R'Us translucent green,US eBay,2024-08-18
C20522079,CGB-JPN-2,"03",10-2,SE Toys'R'Us translucent green,JP J4U,2024-09-07
C20522758,CGB-JPN-2,"05",?-2,SE Toys'R'Us translucent green,JP eBay,2024-09-09
C20523059,CGB-JPN-2,"05",5-2,SE Toys'R'Us translucent green,US eBay,2025-05-30
C20524107,CGB-JPN-2,"05",12-1,SE Toys'R'Us translucent green,JP J4U,2024-09-06
C20524223,CGB-JPN-2,"05",6-2,SE Toys'R'Us translucent green,JP J4U,2024-09-06
C20525394,CGB-JPN-2,"05",2-2,SE Toys'R'Us translucent green,HK eBay,2025-05-31
C20527077,CGB-JPN-2,"05",1-2,SE Toys'R'Us translucent green,US eBay,2025-05-30
C20527527,CGB-JPN-2,"04",2-2,SE Toys'R'Us translucent green,JP eBay,2025-10-21
C20527731,CGB-JPN-2,"05",2-?,SE Toys'R'Us translucent green,JP eBay,2025-01-11
C20528121,CGB-JPN-2,?,5-2,SE Toys'R'Us translucent green,JP eBay,2024-11-06
C20528734,CGB-JPN-2,"05",11-1,SE Toys'R'Us translucent green,JP J4U,2024-09-06
C20538647,CGB-JPN-2,"05",4-2,SE Daiei Hawks translucent orange/black,JP J4U,2024-09-06
C20538811,CGB-JPN-2,"05",3-1,SE Daiei Hawks translucent orange/black,UK eBay,2025-05-26
C20539191,CGB-JPN-2,"05",1-1,SE Daiei Hawks translucent orange/black,JP eBay,2024-11-06
C20539209,CGB-JPN-2,"05",1-1,SE Daiei Hawks translucent orange/black,US eBay,2025-10-25
C20539214,CGB-JPN-2,"05",4-2,SE Daiei Hawks translucent orange/black,JP eBay,2024-11-29
C20539970,CGB-JPN-2,"05",4-2,SE Daiei Hawks translucent orange/black,JP J4U,2024-09-06
C20544825,CGB-JPN-2,"05",2-5,🩷 Berry,US eBay,2025-05-27
C20554525,CGB-JPN-2,"05",6-2,🤍 Clear translucent,US eBay,2024-08-08
C20556567,CGB-JPN-2,"05",1-1,🤍 Clear translucent,JP eBay,2024-07-18
C20558245,CGB-JPN-2,"05",1-1,🤍 Clear translucent,JP eBay,2024-08-05
C20563018,CGB-JPN-2,"05",7-1,SE Toys'R'Us translucent green,JP eBay,2022-08-04
C20567862,CGB-JPN-2,"05",11-2,💜 Grape,JP eBay,2024-09-10
C20569716,CGB-JPN-2,"05",10-2,🩵 Teal,US eBay,2025-11-16
C20598856,CGB-JPN-2,"05",1-1,💜 Grape,JP eBay,2024-08-22
C20619733,CGB-JPN-2,"05",?-2,🤍 Clear translucent,UK eBay,2022-08-09
C20646963,CGB-JPN-2,"05",1-1,💛 Dandelion,JP eBay,2024-07-27
C20651527,CGB-JPN-2,"05",?-?,💛 Dandelion,JP eBay,2023-04-14
C20656145,CGB-JPN-2,"05",1-1,💛 Dandelion,JP eBay,2024-07-20
C20660020,CGB-JPN-2,"05",5-2,SE Daiei Hawks translucent orange/black,JP eBay,2025-01-09
C20660135,CGB-JPN-2,"05",1-1,SE Daiei Hawks translucent orange/black,UK eBay,2024-08-13
C20661006,CGB-JPN-2,"05",?-2,SE Daiei Hawks translucent orange/black,JP J4U,2024-09-07
C20662267,CGB-JPN-2,"05",1-2,SE Daiei Hawks translucent orange/black,JP J4U,2024-09-06
C20662933,CGB-JPN-2,"05",6-2,SE Daiei Hawks translucent orange/black,JP J4U,2024-09-06
C20663309,CGB-JPN-2,"05",2-1,SE Daiei Hawks translucent orange/black,JP eBay,2024-08-10
C20664724,CGB-JPN-2,?,?-?,SE Daiei Hawks translucent orange/black,US eBay,2024-08-15
C20665099,Missing,"05",4-1,SE Daiei Hawks translucent orange/black,JP J4U,2025-06-04
C20665337,CGB-JPN-2,?,6-1,SE Daiei Hawks translucent orange/black,JP J4U,2024-09-06
C20665558,CGB-JPN-2,?,?-?,SE Daiei Hawks translucent orange/black,JP eBay,2024-08-30
C20666099,CGB-JPN-2,"05",3-1,SE Daiei Hawks translucent orange/black,JP J4U,2025-06-02
C20667685,CGB-JPN-2,"05",10-1,SE Daiei Hawks translucent orange/black,JP eBay,2025-11-22
C20705024,CGB-JPN-2,"05",1-1,🩷 Berry,US eBay,2024-11-15
C20707870,Missing,"04",2-2,🩷 Berry,FR eBay,2025-06-18
C20710716,Missing,"05",5-2,SE Jusco w/ Mario atomic purple,JP eBay,2025-08-07
C20711332,CGB-JPN-2,"05",6-1,SE Jusco w/ Mario atomic purple,JP Sendico,2024-07-28
C20712530,CGB-JPN-2,"05",4-2,SE Jusco w/ Mario atomic purple,US eBay,2025-05-28
C20712619,CGB-JPN-2,"05",4-1,SE Jusco w/ Mario atomic purple,JP eBay,2025-05-28
C20712868,CGB-JPN-2,"05",2-2,SE Jusco w/ Mario atomic purple,JP eBay,2024-11-19
C20713125,CGB-JPN-2,"05",6-2,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C20730812,CGB-JPN-2,"05",12-1,💟 Atomic purple,JP eBay,2024-11-08
C20731271,CGB-JPN-2,"05",1-2,SE Jusco w/ Mario atomic purple,JP eBay,2025-11-05
C20732481,CGB-JPN-2,"05",1-2,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C20732706,Missing,"05",5-2,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C20732770,CGB-JPN-2,?,6-2,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C20732795,CGB-JPN-2,"05",4-2,SE Jusco w/ Mario atomic purple,UK eBay,2024-08-30
C20733583,CGB-JPN-2,"05",1-2,SE Jusco w/ Mario atomic purple,JP eBay,2025-11-04
C20734780,CGB-JPN-2,"05",5-2,SE Jusco w/ Mario atomic purple,US eBay,2025-05-28
C20735556,CGB-JPN-2,"05",1-1,SE Jusco w/ Mario atomic purple,JP eBay,2025-11-20
C20735660,CGB-JPN-2,"05",1-1,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C20736571,CGB-JPN-2,"05",1-1,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C20736595,CGB-JPN-2,"04",1-1,SE Jusco w/ Mario atomic purple,JP eBay,2024-09-05
C20737157,CGB-JPN-2,"05",1-1,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C20739823,CGB-JPN-2,"03",1-1,💜 Grape,UK eBay,2022-07-23
C20760474,CGB-JPN-2,"05",1-1,💟 Atomic purple,JP eBay,2024-09-03
C20762611,CGB-JPN-2,"05",1-1,💟 Atomic purple,JP eBay,2024-08-10
C20767318,CGB-JPN-2,"05",4-1,💟 Atomic purple,JP eBay,2024-09-05
C20771199,CGB-JPN-2,"05",5-1,🩵 Teal,JP eBay,2023-04-14
C20772436,CGB-JPN-2,"05",11-1,🩵 Teal,UK eBay,2024-08-26
C20793859,CGB-JPN-2,"05",3-2,🩵 Teal,JP eBay,2024-08-09
C20794579,CGB-JPN-2,"05",6-1,🩵 Teal,JP eBay,2023-04-15
C20798251,CGB-JPN-2,"05",6-1,🤍 Clear translucent,JP eBay,2024-08-14
C20799673,CGB-JPN-2,"05",?-?,🤍 Clear translucent,JP eBay,2022-08-14
C20800072,CGB-JPN-2,"05",6-1,🖤 SE Eiden translucent black,US Marketplace,2025-03-24
C20800495,Missing,?,?-?,🖤 SE Eiden translucent black,JP eBay,2024-10-29
C20800660,CGB-JPN-2,"05",9-1,🖤 SE Eiden translucent black,JP J4U,2024-09-06
C20801521,CGB-JPN-2,"04",1-1,🖤 SE Eiden translucent black,JP eBay,2024-09-11
C20801834,CGB-JPN-2,"05",?-?,🖤 SE Eiden translucent black,JP eBay,2024-07-20
C20802004,CGB-JPN-2,"05",4-2,🖤 SE Eiden translucent black,UK YouTube,2024-07-13
C20802150,CGB-JPN-2,?,5-1,🖤 SE Eiden translucent black,JP eBay,2024-07-21
C20802263,CGB-JPN-2,"05",1-9,🖤 SE Eiden translucent black,JP eBay,2024-10-29
C20802735,CGB-JPN-2,"05",2-1,🖤 SE Eiden translucent black,JP eBay,2025-10-07
C20802964,CGB-JPN-2,"05",3-2,🖤 SE Eiden translucent black,JP J4U,2024-09-06
C20807930,CGB-JPN-2,"05",3-2,🖤 SE Eiden translucent black,JP J4U,2024-09-06
C20807939,CGB-JPN-2,"06",3-2,🖤 SE Eiden translucent black,JP J4U,2024-09-06
C20808408,CGB-JPN-2,"05",1-?,🖤 SE Eiden translucent black,US eBay,2025-05-30
C20809171,CGB-JPN-2,"05",?-?,🖤 SE Eiden translucent black,JP eBay,2024-09-08
C20809719,CGB-JPN-2,"05",6-1,🖤 SE Eiden translucent black,JP eBay,2024-07-13
C20819567,CGB-JPN-2,"05",4-1,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2025-06-19
C20834111,CGB-JPN-2,"05",3-2,💟 Atomic purple,JP eBay,2024-07-27
C20842043,CGB-JPN-2,"05",5-2,🩵 Teal,JP eBay,2024-09-12
C20842945,CGB-JPN-2,"05",11-1,🩵 Teal,JP eBay,2024-08-09
C20852759,CGB-JPN-2,"05",5-2,🩷 Berry,JP eBay,2024-07-30
C20858531,CGB-JPN-2,"05",4-1,🩷 Berry,US eBay,2024-09-17
C20884647,CGB-JPN-2,"05",10-1,💟 Atomic purple,JP eBay,2024-12-01
C20898397,CGB-JPN-2,"05",6-2,🤍 Clear translucent,JP eBay,2022-07-26
C20901065,CGB-JPN-2,"05",11-2,💜 Grape,JP eBay,2024-07-30
C20912172,CGB-JPN-2,"05",4-2,🤍 Clear translucent,JP eBay,2024-08-10
C20912656,CGB-JPN-2,"05",4-1,🤍 Clear translucent,JP eBay,2024-09-02
C20934984,CGB-JPN-2,"05",4-2,🩷 Berry,JP eBay,2024-08-09
C20935222,CGB-JPN-2,"05",6-2,🩷 Berry,JP eBay,2022-08-14
C20940369,CGB-JPN-2,"05",1-2,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2025-11-30
C20940636,CGB-JPN-2,"05",1-2,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2024-09-08
C20941059,CGB-JPN-2,"05",3-1,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2024-12-10
C20944579,CGB-JPN-2,?,?-?,SE Toys'R'Us translucent midnight blue-purple,US eBay,2024-12-23
C20947789,CGB-JPN-2,"05",?-?,SE Toys'R'Us translucent midnight blue-purple,JP J4U,2025-06-04
C20949044,CGB-JPN-2,"05",3-2,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2024-11-25
C20953091,Missing,"05",5-1,🤍 Clear translucent,JP eBay,2024-07-30
C20957983,CGB-JPN-2,"05",4-1,🤍 Clear translucent,JP eBay,2024-08-09
C20961217,CGB-JPN-2,"05",?-?,💜 Grape,JP eBay,2024-11-30
C20973861,CGB-JPN-2,"05",10-1,🩵 Teal,JP eBay,2022-08-14
C20998317,CGB-JPN-2,"05",5-1,🤍 Clear translucent,JP eBay,2024-09-03
C21008468,Missing,"05",?-2,🤍 Clear translucent,JP eBay,2024-11-06
C21029170,CGB-JPN-2,"05",4-2,💟 Atomic purple,UK eBay,2022-07-26
C21037166,CGB-JPN-2,"05",1-1,💟 Atomic purple,JP eBay,2022-08-16
C21047599,CGB-JPN-2,"05",5-2,💜 Grape,JP eBay,2024-11-25
C21051516,CGB-JPN-2,"05",5-1,💜 Grape,JP eBay,2025-01-13
C21051629,CGB-JPN-2,"05",5-2,💜 Grape,JP eBay,2024-07-30
C21054232,Reproduction,"05",1-1,💜 Grape,JP eBay,2024-09-08
C21058146,CGB-JPN-2,"05",10-1,💜 Grape,JP eBay,2024-07-30
C21065037,CGB-JPN-2,"05",?-2,🩵 Teal,JP eBay,2024-08-09
C21069828,CGB-JPN-2,"05",?-1,🩵 Teal,JP eBay,2024-09-02
C21077063,CGB-JPN-2,"05",5-1,🩷 Berry,JP eBay,2025-11-07
C21093222,CGB-JPN-2,"05",1-7,💟 Atomic purple,UK eBay,2024-04-29
C21096943,CGB-JPN-2,"05",10-1,💟 Atomic purple,JP eBay,2024-07-30
C21099962,CGB-JPN-2,"05",6-2,💟 Atomic purple,JP eBay,2025-01-22
C21100267,CGB-JPN-2,"05",2-2,💟 Atomic purple,JP eBay,2024-09-08
C21117841,CGB-JPN-2,"05",9-1,💛 Dandelion,US eBay,2024-11-08
C21125618,Missing,"05",6-1,🤍 Clear translucent,JP eBay,2024-07-30
C21126145,Missing,"05",5-1,🤍 Clear translucent,JP eBay,2025-11-06
C21130033,CGB-JPN-2,?,?-?,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2024-12-24
C21131767,CGB-JPN-2,"05",2-2,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2025-01-13
C21135319,CGB-JPN-2,"05",1-1,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2024-07-30
C21135693,CGB-JPN-2,"05",11-2,SE Toys'R'Us translucent midnight blue-purple,JP J4U,2024-09-06
C21135805,CGB-JPN-2,"05",11-2,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2024-07-30
C21136754,CGB-JPN-2,"05",4-2,SE Toys'R'Us translucent midnight blue-purple,JP eBay,2025-01-11
C21144220,CGB-JPN-2,"05",5-1,🩵 Teal,JP eBay,2025-11-26
C21151719,CGB-JPN-2,"05",6-1,💜 Grape,JP eBay,2024-08-10
C21165233,CGB-JPN-2,"05",10-1,🩵 Teal,AU eBay,2024-09-16
C21166045,CGB-JPN-2,"05",5-1,🩵 Teal,JP eBay,2024-07-30
C21169301,CGB-JPN-2,"05",9-2,🩵 Teal,JP eBay,2025-11-26
C21173550,CGB-JPN-2,"05",1-1,🩷 Berry,JP eBay,2025-11-01
C21174399,CGB-JPN-2,"05",3-2,🩷 Berry,US eBay,2024-08-27
C21174852,CGB-JPN-2,"05",2-2,🩷 Berry,JP eBay,2024-08-10
C21185832,CGB-JPN-2,"06",5-1,🩵 Teal,JP eBay,2024-07-30
C21202258,CGB-JPN-2,"05",3-2,🤍 Clear translucent,JP eBay,2024-08-22
C21203495,CGB-JPN-2,"05",?-2,🤍 Clear translucent,JP eBay,2024-11-04
C21208743,Missing,"05",1-2,🤍 Clear translucent,JP eBay,2024-07-30
C21210777,CGB-JPN-2,"05",10-1,💟 Atomic purple,JP eBay,2025-11-26
C21210947,Missing,"05",7-2,💟 Atomic purple,US eBay,2024-11-04
C21211893,CGB-JPN-2,"05",?-?,💟 Atomic purple,JP eBay,2025-11-26
C21212374,CGB-JPN-2,"05",12-1,💟 Atomic purple,JP eBay,2024-07-30
C21213966,CGB-JPN-2,"05",1-1,💟 Atomic purple,JP eBay,2024-10-26
C21219071,CGB-JPN-2,"05",8-1,💟 Atomic purple,JP eBay,2025-11-26
C21221013,CGB-JPN-2,"05",1-2,💟 Atomic purple,JP eBay,2024-11-06
C21231913,CGB-JPN-2,"05",1-2,💟 Atomic purple,JP eBay,2024-07-30
C21237790,CGB-JPN-2,"06",1-1,💟 Atomic purple,JP eBay,2024-08-05
C21250001,CGB-JPN-2,"05",6-1,💜 Grape,JP eBay,2024-07-30
C21261208,CGB-JPN-2,"06",3-1,💜 Grape,JP eBay,2025-05-28
C21267965,CGB-JPN-2,"06",5-2,💜 Grape,JP eBay,2024-07-30
C21283855,CGB-JPN-2,"06",2-2,🤍 Clear translucent,US eBay,2025-11-16
C21293497,CGB-JPN-2,"06",1-2,🩵 Teal,JP eBay,2024-09-02
C21294509,CGB-JPN-2,"06",1-2,🩵 Teal,JP eBay,2022-08-17
C21299582,CGB-JPN-2,"06",2-2,🩷 Berry,JP eBay,2024-11-09
C21303333,CGB-JPN-2,"06",12-1,🩷 Berry,UK eBay,2024-12-05
C21311308,CGB-JPN-2,"06",4-2,💜 Grape,JP eBay,2024-09-12
C21313841,CGB-JPN-2,"06",5-1,🩵 Teal,US eBay,2025-11-13
C21328925,CGB-JPN-2,"06",6-2,🩵 Teal,JP eBay,2024-07-30
C21329081,CGB-JPN-2,"06",1-2,🩵 Teal,JP eBay,2024-07-30
C21331068,CGB-JPN-2,"06",4-2,💛 Dandelion,JP eBay,2022-08-16
C21331630,CGB-JPN-2,"06",4-1,💛 Dandelion,JP eBay,2025-11-26
C21349802,CGB-JPN-2,"06",1-2,🤍 Clear translucent,JP eBay,2024-09-12
C21351777,CGB-JPN-2,"06",12-1,🤍 Clear translucent,CA eBay,2024-12-10
C21352512,CGB-JPN-2,"06",2-2,🤍 Clear translucent,JP eBay,2024-07-30
C21376810,CGB-JPN-2,"06",1-1,💟 Atomic purple,JP eBay,2024-07-30
C21392331,CGB-JPN-2,"06",1-1,💟 Atomic purple,US eBay,2024-11-17
C21393740,CGB-JPN-2,"06",1-2,💟 Atomic purple,JP eBay,2024-07-30
C21412457,CGB-JPN-2,"06",1-2,💜 Grape,JP eBay,2024-12-20
C21415987,CGB-JPN-2,"06",1-?,💜 Grape,JP eBay,2024-10-26
C21420460,CGB-JPN-2,"06",1-2,🩵 Teal,UK eBay,2024-08-27
C21420654,CGB-JPN-2,"06",1-1,🩵 Teal,JP eBay,2024-09-02
C21427022,CGB-JPN-2,"06",12-1,🍊 SE Mirinda translucent orange,US eBay,2024-09-04
C21430979,CGB-JPN-2,"06",1-2,🩵 Teal,JP eBay,2023-04-15
C21453602,CGB-JPN-2,"06",1-2,💛 Dandelion,JP eBay,2024-07-27
C21456477,CGB-JPN-2,"06",1-1,💛 Dandelion,JP eBay,2025-11-26
C21456790,CGB-JPN-2,"06",10-1,💛 Dandelion,UK eBay,2024-04-22
C21470336,CGB-JPN-2,"06",4-1,🩵 Teal,JP eBay,2024-07-30
C21484122,CGB-JPN-2,"06",1-2,🩵 Teal,JP eBay,2024-09-03
C21490634,CGB-JPN-2,"06",1-2,💟 Atomic purple,JP eBay,2024-11-25
C21493983,CGB-JPN-2,"06",2-2,💟 Atomic purple,JP eBay,2024-07-30
C21495996,CGB-JPN-2,"06",4-1,💟 Atomic purple,UK eBay,2024-06-10
C21497628,CGB-JPN-2,"06",2-2,💟 Atomic purple,JP eBay,2024-12-05
C21499437,CGB-JPN-2,"06",1-1,💟 Atomic purple,US eBay,2024-11-18
C21507862,Missing,"06",1-1,💟 Atomic purple,JP eBay,2024-08-10
C21513493,CGB-JPN-2,"06",4-2,💟 Atomic purple,JP eBay,2024-08-30
C21514135,CGB-JPN-2,"06",?-1,💟 Atomic purple,AU eBay,2024-12-06
C21514762,CGB-JPN-2,"06",?-2,💟 Atomic purple,JP eBay,2025-11-26
C21518015,CGB-JPN-2,"06",5-1,💟 Atomic purple,gbhwdb.gekkio.fi,2023-05-30
C21524882,CGB-JPN-2,"06",12-2,🤍 Clear translucent,JO eBay,2024-07-31
C21529463,CGB-JPN-2,"06",9-1,🤍 Clear translucent,JP eBay,2024-07-30
C21536777,CGB-JPN-2,"06",3-1,🤍 Clear translucent,UK eBay,2022-07-26
C21538143,CGB-JPN-2,"06",9-1,🤍 Clear translucent,JP eBay,2024-08-09
C21568773,CGB-JPN-2,"06",1-1,💜 Grape,JP eBay,2025-11-26
C21586674,CGB-JPN-2,"06",9-1,💜 Grape,JP eBay,2024-08-05
C21589424,CGB-JPN-2,"06",1-2,💜 Grape,JP eBay,2025-01-13
C21600752,CGB-JPN-2,"06",4-1,🩵 Teal,JP eBay,2024-08-10
C21605395,CGB-JPN-2,"06",1-2,🩵 Teal,JP eBay,2023-04-15
C21620558,CGB-JPN-2,"06",1-1,🩷 Berry,JP eBay,2024-07-30
C21624359,CGB-JPN-2,"06",1-2,🩷 Berry,JP eBay,2022-08-14
C21625627,CGB-JPN-2,"06",1-2,🩷 Berry,US eBay,2025-05-28
C21628732,CGB-JPN-2,"06",1-1,🩷 Berry,IN eBay,2024-07-18
C21633868,CGB-JPN-2,"06",1-1,💟 Atomic purple,UK eBay,2024-07-16
C21645915,CGB-JPN-2,"06",1-1,💟 Atomic purple,UK eBay,2024-05-02
C21648609,CGB-JPN-2,"06",1-1,💟 Atomic purple,JP eBay,2024-09-09
C21652717,CGB-EUR,"06",1-1,🍊 SE Yedigun translucent orange,DE eBay,2025-06-05
C21659758,CGB-JPN-2,"06",1-1,💜 Grape,JP eBay,2024-08-10
C21662803,CGB-EUR,"06",1-2,🍊 SE Yedigun translucent orange,US eBay,2024-08-13
C21663050,CGB-EUR,"06",1-2,🍊 SE Yedigun translucent orange,US Marketplace,2025-03-26
C21668335,CGB-JPN-2,"06",1-1,💜 Grape,JP eBay,2024-07-30
C21671827,CGB-JPN-2,"06",1-2,🤍 Clear translucent,EG eBay,2024-12-24
C21679524,CGB-JPN-2,"06",1-2,🤍 Clear translucent,JP eBay,2024-09-12
C21687254,CGB-JPN-2,"06",?-?,🤍 Clear translucent,JP eBay,2024-08-09
C21687290,Missing,"06",1-1,🤍 Clear translucent,US eBay,2025-11-30
C21696411,CGB-JPN-2,"06",6-1,💛 Dandelion,JP eBay,2023-04-15
C21701422,CGB-JPN-2,"06",2-1,🤍 Clear translucent,JP eBay,2023-04-15
C21734468,CGB-JPN-2,"06",11-1,🤍 Clear translucent,JO eBay,2024-09-04
C21762207,CGB-JPN-2,"06",6-2,💜 Grape,JP eBay,2025-11-26
C21764690,CGB-JPN-2,"05",1-2,💛 Dandelion,ID eBay,2024-09-01
C21777931,CGB-JPN-2,"06",1-1,🩷 Berry,JP eBay,2025-11-26
C21783453,CGB-JPN-2,"06",11-2,🩷 Berry,JP eBay,2024-07-30
C21785376,CGB-JPN-2,"06",1-1,🩷 Berry,JP eBay,2024-07-30
C21787514,CGB-JPN-2,"06",?-1,🩷 Berry,JP eBay,2024-09-09
C21793080,CGB-JPN-2,"03",1-2,💟 Atomic purple,JP eBay,2024-09-13
C21823885,CGB-JPN-2,"06",6-2,💛 Dandelion,UK eBay,2023-03-25
C21824998,Missing,"06",10-1,💛 Dandelion,JP eBay,2022-08-16
C21864258,CGB-EUR,?,?-?,💛 Dandelion,DE eBay,2025-06-18
,,,,,,
,,,, Copyright (C) Andrew C.E. Dent 2022-2025. ,,
,,,, This work is licensed under CC BY-NC-SA. See: ,,
,,,, https://creativecommons.org/licenses/by-nc-sa/4.0/ ,,
,,,, Provided “as is”- without warranty of any kind. ,,
,,,, (Last updated: 2025-12-01 / R04092) ,,
