Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
C19452252,CGB-JPN-2,"04",1-2,🍒 SE Sakura Wars translucent cherry,JP eBay,2024-08-08
C19452360,CGB-JPN-2,"04",1-1,🍒 SE Sakura Wars translucent cherry,UK eBay,2024-07-10
C19452417,CGB-JPN-2,"04",1-2,🍒 SE Sakura Wars translucent cherry,JP eBay,2024-08-15
C19452623,CGB-JPN-2,"04",1-2,🍒 SE Sakura Wars translucent cherry,JP eBay,2024-07-09
C19452999,CGB-JPN-2,"04",1-1,🍒 SE Sakura Wars translucent cherry,JP J4U,2024-09-05
C19454317,CGB-JPN-2,"04",1-1,🍒 SE Sakura Wars translucent cherry,JP J4U,2024-09-05
C19454690,CGB-JPN-2,"04",1-2,🍒 SE Sakura Wars translucent cherry,JP J4U,2024-09-05
C19455442,CGB-JPN-2,"04",1-2,🍒 SE Sakura Wars translucent cherry,JP eBay,2024-11-17
C19455776,CGB-JPN-2,"04",1-2,🍒 SE Sakura Wars translucent cherry,US eBay,2025-01-11
C19456985,CGB-JPN-2,"04",1-2,💛 Dandelion,JP Yahoo,2022-07-21
C19457464,CGB-JPN-2,"04",1-2,💛 Dandelion,JP eBay,2024-08-30
C19458947,CGB-JPN-2,"04",1-2,💛 Dandelion,JP eBay,2024-08-10
C19460042,CGB-JPN-2,"04",4-1,🍒 SE Sakura Wars translucent cherry,AU eBay,2025-02-11
C19460534,CGB-JPN-2,"04",3-1,🍒 SE Sakura Wars translucent cherry,JP eBay,2024-06-04
C19460631,CGB-JPN-2,?,1-1,🍒 SE Sakura Wars translucent cherry,JP eBay,2024-08-19
C19466204,CGB-JPN-2,"04",1-2,🩵 Teal,JP eBay,2022-08-11
C19476221,Missing,"04",3-2,SE Daiei Hawks translucent orange/black,JP eBay,2025-11-06
C19476536,CGB-JPN-2,?,?-?,SE Daiei Hawks translucent orange/black,JP eBay,2024-11-15
C19476546,CGB-JPN-2,"04",7-1,SE Daiei Hawks translucent orange/black,JP eBay,2024-08-10
C19476725,Missing,"04",8-2,SE Daiei Hawks translucent orange/black,JP eBay,2024-07-18
C19476895,CGB-JPN-2,"04",1-1,SE Daiei Hawks translucent orange/black,JP eBay,2025-11-06
C19476920,CGB-JPN-2,"04",3-1,SE Daiei Hawks translucent orange/black,JP eBay,2025-11-26
C19477002,CGB-JPN-2,"04",?-1,SE Daiei Hawks translucent orange/black,JP eBay,2024-12-23
C19477148,CGB-JPN-2,"04",2-1,SE Daiei Hawks translucent orange/black,UK eBay,2025-05-29
C19477434,CGB-JPN-2,"04",12-2,SE Daiei Hawks translucent orange/black,JP eBay,2024-12-15
C19477956,CGB-JPN-2,?,?-?,SE Daiei Hawks translucent orange/black,JP eBay,2024-08-19
C19478817,CGB-JPN-2,"04",11-2,SE Daiei Hawks translucent orange/black,JP J4U,2024-09-06
C19479360,CGB-JPN-2,?,1-2,🎀 SE Hello Kitty w/ bow pink,JP eBay,2025-11-13
C19479515,CGB-JPN-2,"05",1-2,🎀 SE Hello Kitty w/ bow pink,CH classicgamestore,2024-07-11
