Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
CG111084999,CGB-JPN-1,"03",3-1,💜 Grape,US eBay,2024-11-26
CG111652464,CGB-JPN-1,"03",1-1,💜 Grape,US eBay,2024-12-06
CG111980079,Missing,"03",4-2,💜 Grape,US eBay,2025-11-03
CG112045517,CGB-JPN-1,"03",𝟛-2,💜 Grape,US eBay,2024-11-06
CG112395681,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2024-12-05
CG112507282,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2025-10-28
CG113086113,CGB-JPN-1,"03",1-2,💜 Grape,US eBay,2025-05-31
CG113605864,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2025-11-12
CG113690440,CGB-JPN-1,"03",5-1,💟 Atomic purple,US eBay,2025-05-20
CG113880841,CGB-JPN-1,"04",1-2,💟 Atomic purple,US eBay,2024-08-10
CG113944574,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2025-11-25
CG114072474,CGB-JPN-1,"03",1-2,💟 Atomic purple,UK eBay,2022-07-14
CG114142450,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2025-11-30
CG114326126,Missing,"03",7-1,💜 Grape,US eBay,2024-11-10
CG114363985,CGB-JPN-1,"03",1-1,💜 Grape,US eBay,2025-01-22
CG115149441,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2025-10-15
CG115150591,CGB-JPN-1,"03",1-2,💟 Atomic purple,US eBay,2025-11-30
CG115227545,CGB-JPN-1,"03",1-1,💟 Atomic purple,US eBay,2025-11-06
CG115267480,Missing,"03",5-1,💟 Atomic purple,US eBay,2025-01-14
CG115366633,CGB-JPN-1,"03",1-1,💜 Grape,US eBay,2025-01-03
CG115907256,CGB-JPN-1,"03",10-1,💚 Kiwi,US eBay,2024-09-01
CG116052764,CGB-JPN-1,"03",1-2,💚 Kiwi,US eBay,2024-08-10
CG116159265,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2024-08-19
CG116224642,CGB-JPN-1,"03",2-2,🩵 Teal,US eBay,2024-09-10
CG116280228,CGB-JPN-1,"03",7-2,🩵 Teal,US eBay,2024-12-06
CG116391900,CGB-JPN-1,"03",1-2,🩵 Teal,US eBay,2024-08-23
